x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,y
-2.704,0.917,0.267,0.314,-0.756,0.818,-0.114,0.673,0.261,0.056,11
-3.664,1.119,-0.459,0.482,0.082,0.221,0.185,0.861,-0.237,-0.413,11
-3.731,1.927,-0.705,0.453,-0.372,1.149,0.046,0.323,-0.627,-0.331,11
-2.434,0.87,0.127,0.224,-0.811,0.666,-0.233,0.705,0.408,0.136,11
-2.704,1.285,-0.908,1.57,-0.84,1.044,-0.399,0.951,0.345,-0.695,11
-2.711,0.971,-0.023,0.053,0.101,-0.148,0.382,0.476,-1.05,-0.256,11
-2.752,1.778,-0.718,0.057,-0.009,0.402,0.121,0.05,-1.435,0.281,11
-3.446,2.44,-0.37,0.926,0.194,0.141,-0.098,-0.557,-0.889,0.985,11
-2.608,0.839,0.203,0.305,-0.851,0.78,-0.143,0.607,0.344,0.106,11
-3.292,2.595,-0.578,0.42,-0.233,0.391,-0.241,0.437,-0.541,-0.021,11
-3.451,2.257,-0.845,0.432,0.486,0.266,-0.215,0.006,-1.082,0.759,11
-3.735,2.096,-0.818,0.463,-0.221,1.144,0.023,0.224,-0.745,-0.325,11
-2.945,1.724,-0.312,-0.239,-0.447,1.36,0.014,-0.102,0.021,-0.564,11
-3.432,2.235,-0.753,0.361,0.435,0.425,-0.193,0.012,-1.166,0.794,11
