What_would_you_call_the_part_of_the_country_you_live_in_now,How_much_do_you_personally_identify_as_a_Midwesterner,Do_you_consider_Illinois_state_as_part_of_the_Midwest,Do_you_consider_Indiana_state_as_part_of_the_Midwest,Do_you_consider_Iowa_state_as_part_of_the_Midwest,Do_you_consider_Kansas_state_as_part_of_the_Midwest,Do_you_consider_Michigan_state_as_part_of_the_Midwest,Do_you_consider_Minnesota_state_as_part_of_the_Midwest,Do_you_consider_Missouri_state_as_part_of_the_Midwest,Do_you_consider_Nebraska_state_as_part_of_the_Midwest,Do_you_consider_North_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Ohio_state_as_part_of_the_Midwest,Do_you_consider_South_Dakota_state_as_part_of_the_Midwest,Do_you_consider_Wisconsin_state_as_part_of_the_Midwest,Do_you_consider_Arkansas_state_as_part_of_the_Midwest,Do_you_consider_Colorado_state_as_part_of_the_Midwest,Do_you_consider_Kentucky_state_as_part_of_the_Midwest,Do_you_consider_Oklahoma_state_as_part_of_the_Midwest,Do_you_consider_Pennsylvania_state_as_part_of_the_Midwest,Do_you_consider_West_Virginia_state_as_part_of_the_Midwest,Do_you_consider_Montana_state_as_part_of_the_Midwest,Do_you_consider_Wyoming_state_as_part_of_the_Midwest,Gender,Age,Household_Income,Education,In_what_ZIP_code_is_your_home_located,Census_Region
East,Not at all,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Some,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$100,000 - $149,999",Graduate degree,44612,East North Central
Midwest,Not at all,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,49507,East North Central
new york,Not at all,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Male,> 60,"$150,000+",Associate or bachelor degree,11023,East North Central
Midwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Male,> 60,"$100,000 - $149,999",Some college,47006,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Associate or bachelor degree,53207,East North Central
"The mid west, rust belt",A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,49508,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,60625,East North Central
"picturesque, brutal winter this year.",Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Some college,48507,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Some college,48912,East North Central
Midwest,Some,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,45211,East North Central
midwest,A lot,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,60099,East North Central
Southeast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid Atlantic,Not at all,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
northeast,Not at all,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Southern Illinois/Midwest,A lot,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,62002,East North Central
Midwest,Some,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,53097,East North Central
midwest,A lot,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,> 60,"$150,000+",Some college,61081,East North Central
WAY North ;),Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,18-29,"$150,000+",High school degree,53081,East North Central
mid west,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,44070,East North Central
Upper Midwest.,Some,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Some college,53190,East North Central
Midwest,A lot,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Male,> 60,"$100,000 - $149,999",Associate or bachelor degree,45014,East North Central
Midwest,A lot,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",High school degree,54235,East North Central
Midwesterner,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Female,> 60,"$150,000+",Graduate degree,54481,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$150,000+",Some college,48623,East North Central
Mountain West,Not at all,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,60601,East North Central
"a suburban area of Chicago, definetely in the midwest",A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,60435,East North Central
"a beautiful country where you have all seasons, hills, flowers, green grass, tall trees, rivers and streams.",A lot,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Female,45-60,"$25,000 - $49,999",Some college,47250,East North Central
Ohio,Some,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Male,18-29,"$150,000+",Some college,45227,East North Central
Midwest,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$0 - $24,999",Associate or bachelor degree,60134,East North Central
The midwest.  The rust belt.  The snow belt.,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid West,Not much,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,62056,East North Central
midwest,Not at all,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,54636,East North Central
Midwest,Some,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Graduate degree,48042,East North Central
upper midwest,A lot,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$50,000 - $99,999",Associate or bachelor degree,53005,East North Central
middle,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Male,18-29,"$50,000 - $99,999",Graduate degree,60201,East North Central
midwest,A lot,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Great lakes.,Not at all,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,48917,East North Central
Midwest,Some,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
The Midwest,Some,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Male,30-44,"$50,000 - $99,999",Graduate degree,45440,East North Central
midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44139,East North Central
The midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Male,18-29,"$25,000 - $49,999",High school degree,53715,East North Central
Mid-West,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,46845,East North Central
Upper midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Not much,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,> 60,"$50,000 - $99,999",Graduate degree,47711,East North Central
Great Lakes Region.,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Graduate degree,53140,East North Central
Mid-west,Some,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Female,30-44,"$100,000 - $149,999",Graduate degree,60016,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Associate or bachelor degree,61301,East North Central
Mid Atlantic Region,Not at all,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Michigan,Not much,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Some college,49323,East North Central
the midwest,Not much,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mix of city and woods.,Not much,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Female,18-29,"$150,000+",Some college,94566,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,53224,East North Central
the great midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Some college,53189,East North Central
Rural,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,46563,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,54603,East North Central
Very cold,Not much,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$150,000+",High school degree,48327,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Male,18-29,"$150,000+",Associate or bachelor degree,44106,East North Central
Midwest.,A lot,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,44105,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,46235,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Female,30-44,"$100,000 - $149,999",Some college,46060,East North Central
The classiest part of the south.,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,28056,East North Central
Northeast,Not at all,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Female,30-44,"$25,000 - $49,999",Associate or bachelor degree,44129,East North Central
The midwest.,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,> 60,"$50,000 - $99,999",Associate or bachelor degree,62363,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Some college,49938,East North Central
Central or midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
mid atlantic,Not at all,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
south,Not at all,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Not much,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Graduate degree,60605,East North Central
Cold,Some,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Female,18-29,"$50,000 - $99,999",Some college,48038,East North Central
Up nort,A lot,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Associate or bachelor degree,54701,East North Central
Midwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Female,30-44,"$50,000 - $99,999",Some college,49042,East North Central
Florida,Not at all,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Female,18-29,"$150,000+",Some college,32740,East North Central
Pacific Northwest,Not at all,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
The Cornbelt,A lot,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Some college,60178,East North Central
midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$25,000 - $49,999",Associate or bachelor degree,48455,East North Central
Northeastern Wisconsin,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$150,000+",Associate or bachelor degree,54961,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,60626,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$150,000+",Associate or bachelor degree,60439,East North Central
Northern California,Not at all,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,A lot,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,> 60,"$100,000 - $149,999",Associate or bachelor degree,44053,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,62226,East North Central
Midwest,Some,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Mid-west,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$25,000 - $49,999",Associate or bachelor degree,48185,East North Central
Midwest,Some,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Some college,48135,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Female,> 60,"$50,000 - $99,999",High school degree,44313,East North Central
Northern California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Male,45-60,"$100,000 - $149,999",Some college,43224,East North Central
The Great Lakes Region.,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$25,000 - $49,999",Associate or bachelor degree,48386,East North Central
NW,Not much,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
upper midweat,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Male,> 60,"$150,000+",High school degree,46614,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,30-44,"$100,000 - $149,999",Associate or bachelor degree,45334,East North Central
Great Lakes area,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$50,000 - $99,999",Graduate degree,48072,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Graduate degree,60140,East North Central
midwest,A lot,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Male,> 60,"$25,000 - $49,999",Associate or bachelor degree,60062,East North Central
Mid Westerner,Not at all,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",High school degree,44256,East North Central
upper mid-west,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Urban,Some,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,Not much,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,54517,East North Central
North West,Not at all,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$150,000+",Graduate degree,48640,East North Central
midwest,A lot,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$150,000+",Graduate degree,48140,East North Central
midwest,Some,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,46224,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Male,18-29,"$50,000 - $99,999",Some college,49601,East North Central
South Carolina,Not at all,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
upper mid west,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Male,> 60,"$0 - $24,999",Some college,53142,East North Central
city,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$50,000 - $99,999",Associate or bachelor degree,44310,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,18-29,"$25,000 - $49,999",Some college,60642,East North Central
West,Not much,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest rural and urban,A lot,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,46239,East North Central
Midwest,Some,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Male,45-60,"$50,000 - $99,999",Graduate degree,44107,East North Central
the Midwest,A lot,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Female,45-60,"$100,000 - $149,999",High school degree,46562,East North Central
Upper Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",High school degree,54220,East North Central
The best,Not at all,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
Midwest,A lot,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Female,45-60,"$50,000 - $99,999",Associate or bachelor degree,44107,East North Central
midwest,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Female,30-44,"$150,000+",Associate or bachelor degree,45840,East North Central
the midwest,Some,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,18-29,"$25,000 - $49,999",Associate or bachelor degree,60613,East North Central
Midwest,A lot,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Female,18-29,"$50,000 - $99,999",Some college,56001,East North Central
Midwest,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Male,45-60,"$100,000 - $149,999",Graduate degree,47401,East North Central
midwest,A lot,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Female,30-44,"$50,000 - $99,999",Some college,61536,East North Central
Spoiled,Some,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Male,18-29,"$150,000+",Graduate degree,43026,East North Central
