Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air_Quality
22.9,61.9,41.1,54.6,27.5,3.4,1.79,5.6,464,Moderate
32.7,64.6,12.6,18.9,30.5,9.5,1.65,7.2,505,Moderate
30.7,50.1,23.6,44.2,28.9,12.7,1.56,6.4,659,Moderate
28.4,79.6,21.5,37.8,21.6,11.1,1.68,5.6,655,Moderate
34.1,80.0,14.6,22.3,26.1,16.2,1.7,5.7,321,Moderate
30.5,76.2,9.3,19.7,32.2,6.5,1.97,6.6,424,Moderate
35.1,67.6,14.2,25.5,25.0,5.6,1.52,5.1,345,Moderate
26.1,81.9,9.5,19.1,36.1,14.8,1.62,5.9,455,Moderate
34.4,65.0,21.5,34.5,24.3,10.3,1.57,8.6,583,Moderate
28.0,72.0,3.2,11.7,28.9,16.6,1.4,5.2,420,Moderate
29.6,68.4,22.3,31.8,26.2,6.2,1.55,5.9,582,Moderate
30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,Moderate
35.4,68.8,29.2,40.7,32.6,8.8,1.74,5.6,650,Moderate
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate
34.0,50.8,1.3,14.1,20.6,13.4,1.4,5.0,485,Moderate
32.7,63.2,34.4,39.6,28.8,11.0,1.54,7.2,296,Moderate
35.3,53.7,34.2,44.6,20.3,3.8,1.21,5.8,328,Moderate
29.4,49.7,67.0,80.2,20.3,16.3,1.34,6.5,436,Moderate
31.4,53.2,18.5,27.9,28.9,13.0,1.42,5.7,319,Moderate
32.4,80.6,34.5,41.8,25.5,8.1,1.37,5.6,631,Moderate
18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432,Moderate
21.1,59.4,28.0,37.8,33.8,11.5,1.32,5.4,496,Moderate
28.6,61.5,19.1,29.3,30.7,6.8,1.61,6.2,376,Moderate
25.7,63.6,11.8,21.3,31.8,10.9,1.62,7.0,492,Moderate
27.8,76.1,1.9,10.1,39.1,4.5,1.97,5.6,479,Moderate
32.3,46.7,20.8,34.7,30.4,11.4,1.33,5.3,677,Moderate
35.3,55.2,3.9,8.9,34.3,7.4,1.72,5.7,606,Moderate
34.8,73.2,2.4,8.8,25.1,3.3,1.35,6.9,362,Moderate
30.8,83.8,0.1,1.3,32.5,5.1,1.53,5.7,601,Moderate
26.4,61.8,41.4,52.3,23.2,2.3,1.74,5.3,499,Moderate
34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate
28.0,80.7,62.2,68.9,29.0,15.3,1.61,5.1,336,Moderate
35.4,84.1,45.6,62.3,31.4,5.6,1.26,7.0,638,Moderate
24.6,58.0,7.5,19.0,25.7,3.4,1.57,12.7,617,Moderate
27.2,60.6,16.5,23.5,30.5,9.0,1.69,6.6,382,Moderate
26.9,66.8,10.5,18.7,30.4,10.5,1.71,10.8,589,Moderate
20.7,80.4,7.4,19.8,25.5,7.9,1.01,5.5,573,Moderate
37.8,65.8,4.5,19.8,17.2,9.4,1.43,6.2,495,Moderate
27.4,57.4,2.5,17.0,35.5,10.3,1.63,6.1,365,Moderate
32.9,47.7,4.4,14.7,32.1,12.8,1.49,6.1,469,Moderate
28.2,49.3,40.9,48.4,21.3,8.8,1.64,11.6,617,Moderate
19.4,54.5,15.7,33.5,19.9,11.7,1.79,5.3,362,Moderate
29.3,70.6,44.1,60.3,27.4,8.6,1.09,5.5,365,Moderate
26.9,72.5,21.5,36.4,18.2,7.6,1.73,12.0,559,Moderate
27.4,51.0,7.0,16.8,26.9,4.6,1.55,11.6,436,Moderate
33.4,50.3,36.7,43.4,35.6,5.3,1.31,5.4,443,Moderate
32.0,88.8,4.7,13.5,29.4,11.5,1.62,7.9,604,Moderate
32.5,69.3,28.0,47.9,28.8,9.8,1.53,5.2,409,Moderate
25.1,48.3,46.2,56.6,17.7,6.5,1.8,7.3,353,Moderate
29.9,86.3,8.3,19.9,21.0,7.9,1.44,9.1,487,Moderate
28.7,58.3,32.9,45.6,26.7,13.6,1.6,7.3,352,Moderate
30.1,91.0,32.1,38.5,23.7,10.6,1.44,6.0,363,Moderate
30.7,66.4,16.6,24.4,23.3,9.5,1.53,9.5,379,Moderate
27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,Moderate
32.2,61.5,7.1,18.6,16.1,14.5,1.52,7.3,539,Moderate
30.0,54.7,38.3,43.8,32.8,7.7,1.28,6.7,610,Moderate
27.4,77.3,12.9,21.1,16.4,15.8,1.81,8.0,406,Moderate
42.9,53.3,0.6,14.2,19.7,9.4,1.7,7.2,604,Moderate
30.6,72.5,7.3,12.3,28.1,10.0,1.68,5.4,555,Moderate
33.3,54.3,21.3,33.9,23.6,2.9,1.35,5.2,585,Moderate
18.0,81.6,20.5,23.8,25.4,17.4,1.67,10.3,551,Moderate
27.0,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453,Moderate
32.4,60.2,0.7,10.0,34.7,11.2,1.59,8.6,717,Moderate
30.1,80.9,4.6,15.3,29.6,9.6,1.71,5.2,332,Moderate
23.0,82.5,6.6,19.3,21.1,10.3,1.8,6.1,566,Moderate
27.2,90.5,13.9,22.7,26.6,12.8,1.29,7.6,616,Moderate
28.6,50.0,2.4,8.1,24.5,4.3,1.71,7.3,337,Moderate
37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate
23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345,Moderate
34.2,93.5,65.0,77.5,26.1,13.1,1.3,5.6,438,Moderate
31.3,80.8,79.4,92.1,24.1,8.0,1.58,7.6,624,Moderate
27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446,Moderate
32.2,69.4,1.5,14.1,24.3,12.5,1.89,5.7,481,Moderate
30.3,89.0,6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate
24.8,58.5,10.3,18.9,32.3,11.3,1.36,5.0,471,Moderate
31.9,78.1,16.7,30.3,29.4,9.0,1.76,5.3,671,Moderate
30.0,87.5,33.8,43.1,28.7,12.2,1.63,6.3,561,Moderate
26.0,64.3,22.6,38.3,33.3,14.4,1.48,7.0,359,Moderate
26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,Moderate
23.0,59.3,10.6,18.8,26.1,15.3,1.42,10.6,337,Moderate
30.1,95.4,2.8,10.3,21.4,13.3,1.32,5.1,333,Moderate
25.9,57.0,3.6,18.9,22.5,9.8,1.52,6.9,352,Moderate
31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,Moderate
25.1,51.5,5.2,14.8,27.3,8.4,1.7,8.8,551,Moderate
23.1,60.0,86.4,95.6,28.8,7.9,1.11,5.5,506,Moderate
29.5,85.1,9.3,19.6,22.8,14.1,1.38,9.6,692,Moderate
31.1,59.2,31.2,46.1,32.8,10.5,1.48,6.5,450,Moderate
23.2,51.7,49.0,56.7,17.7,21.3,1.59,7.4,621,Moderate
22.8,66.7,21.5,34.5,29.1,7.5,1.74,5.3,346,Moderate
39.3,67.4,12.1,19.7,22.3,7.5,1.75,5.1,514,Moderate
39.1,79.9,7.9,19.7,34.6,10.7,1.71,5.5,609,Moderate
23.9,62.4,0.8,13.0,26.1,7.2,1.56,6.1,497,Moderate
27.6,52.8,39.5,54.9,28.7,7.3,1.37,5.5,382,Moderate
31.0,79.6,17.3,30.5,31.4,5.1,1.69,8.9,347,Moderate
25.9,78.2,14.2,22.1,34.8,7.8,1.63,9.6,379,Moderate
27.7,75.8,0.2,5.2,10.4,4.0,0.93,10.4,505,Good
24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,Good
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,215,Good
31.0,65.1,7.6,8.9,23.4,4.2,1.11,13.7,580,Good
25.9,71.3,2.5,4.7,13.3,3.9,1.09,15.4,229,Good
19.5,51.5,2.1,9.5,17.0,2.8,0.95,11.9,471,Good
23.9,70.2,4.1,6.0,24.0,1.8,1.03,12.2,458,Good
24.7,70.3,3.6,11.7,17.6,5.1,0.91,12.5,494,Good
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,Good
24.0,64.1,21.4,27.3,22.6,5.7,0.94,10.3,296,Good
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,Good
21.6,61.6,1.1,6.8,16.2,5.9,1.01,15.6,398,Good
25.4,62.6,4.2,7.4,18.3,4.5,1.03,10.5,518,Good
29.2,73.0,26.4,30.5,9.3,4.1,1.14,11.2,350,Good
25.6,57.4,2.2,6.4,12.2,5.0,1.19,18.9,392,Good
20.3,56.2,21.8,28.8,18.9,2.7,0.96,10.2,335,Good
25.5,74.9,42.2,46.7,19.0,3.0,0.94,11.9,421,Good
25.4,59.1,16.0,16.6,15.2,6.8,1.04,10.5,439,Good
26.8,66.2,4.6,10.8,18.0,3.5,0.96,12.9,422,Good
23.4,72.5,12.1,19.8,18.6,4.4,1.01,18.2,578,Good
29.6,54.4,9.0,12.0,14.3,5.1,1.08,11.1,438,Good
20.8,61.9,3.0,9.6,14.8,8.5,1.06,11.3,491,Good
21.4,67.9,10.9,13.7,16.1,5.8,1.02,12.7,241,Good
29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284,Good
26.7,77.9,24.2,26.6,21.2,4.9,1.13,10.8,352,Good
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,Good
23.8,67.9,15.3,19.2,25.0,5.1,0.97,10.0,366,Good
23.8,48.8,19.9,25.8,26.2,5.6,0.83,10.4,403,Good
22.5,67.5,4.9,8.1,24.6,3.6,0.97,14.2,471,Good
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,Good
21.3,70.4,11.7,16.8,25.4,0.4,0.84,10.9,486,Good
23.6,45.6,7.9,9.2,20.8,6.9,1.19,11.1,521,Good
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,Good
27.7,62.4,0.2,4.6,15.3,5.7,1.06,13.3,239,Good
23.6,60.7,2.9,6.9,15.8,3.0,1.09,12.4,506,Good
23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,Good
24.6,49.7,25.1,26.5,16.4,7.9,1.22,11.2,236,Good
25.3,42.3,10.7,13.0,11.9,2.3,1.0,10.2,381,Good
26.0,39.5,0.3,9.2,23.1,8.1,0.96,10.5,243,Good
23.6,49.7,10.3,14.0,17.9,5.5,0.87,10.9,595,Good
26.7,41.8,1.5,6.5,25.5,2.5,1.07,10.5,303,Good
27.0,46.9,30.1,38.5,20.6,2.7,0.91,11.1,263,Good
26.8,50.5,3.5,7.3,12.3,4.8,1.15,12.3,262,Good
23.1,50.9,6.1,9.2,14.0,8.3,0.87,11.0,287,Good
21.4,60.3,17.6,22.3,15.8,5.7,0.98,11.6,284,Good
24.0,60.3,1.5,8.1,22.2,6.0,1.14,11.1,301,Good
20.3,63.0,21.7,24.1,16.5,4.3,0.89,17.1,191,Good
20.0,48.7,1.9,10.8,24.1,4.0,1.13,10.9,448,Good
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,Good
22.5,65.5,0.8,8.2,13.3,4.7,1.07,10.3,526,Good
25.7,51.6,17.3,20.6,16.9,7.5,1.07,10.7,454,Good
21.9,69.6,7.1,9.6,24.7,2.6,1.11,12.7,423,Good
33.8,68.4,7.2,15.0,18.5,2.6,1.06,11.5,468,Good
21.5,65.3,13.8,19.2,12.5,5.7,1.05,11.2,230,Good
30.2,62.7,3.8,11.4,13.6,7.5,1.02,15.0,270,Good
21.6,43.7,6.0,8.5,26.7,4.2,1.07,12.2,275,Good
24.1,39.7,9.6,14.8,23.9,4.6,0.92,13.4,350,Good
26.6,60.6,2.5,6.5,26.9,8.2,1.07,10.6,318,Good
27.3,74.8,10.3,10.9,14.2,6.3,1.04,18.7,577,Good
25.2,52.1,1.6,4.8,21.1,4.6,1.1,11.7,230,Good
26.2,57.2,3.9,3.9,20.0,3.9,0.94,14.9,290,Good
20.1,47.4,1.8,4.3,24.1,5.8,0.89,11.4,551,Good
26.2,79.1,28.3,31.9,21.7,7.6,0.93,11.1,230,Good
26.4,74.5,23.1,25.7,15.3,5.8,1.03,10.2,239,Good
24.3,66.2,71.6,76.4,14.9,6.0,1.03,11.2,325,Good
26.0,38.6,16.6,22.7,22.0,2.8,1.22,12.9,389,Good
22.9,67.6,4.0,9.7,24.3,5.6,0.9,13.6,422,Good
24.8,46.4,0.7,5.7,15.7,4.7,0.98,10.5,523,Good
26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,Good
25.8,51.5,20.0,30.5,16.5,7.4,0.9,10.6,520,Good
27.2,55.1,16.5,23.0,24.2,4.8,0.8,12.9,303,Good
22.6,40.8,4.6,10.6,20.9,5.7,1.11,12.6,315,Good
29.4,72.7,24.7,28.4,12.0,2.9,1.16,12.1,204,Good
25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374,Good
29.8,58.4,27.3,33.4,12.1,8.3,0.9,10.7,410,Good
25.0,49.7,1.1,5.4,17.9,5.0,1.15,10.5,447,Good
26.4,75.1,3.5,8.5,25.1,2.1,0.96,13.4,543,Good
28.5,44.0,1.3,3.1,15.1,5.0,0.83,19.2,405,Good
24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good
30.4,77.0,10.0,14.8,15.5,3.1,0.9,10.1,386,Good
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,Good
16.1,69.8,14.1,19.9,14.4,9.7,0.98,11.0,498,Good
24.0,40.9,11.8,18.6,21.4,4.3,0.86,13.5,582,Good
30.1,49.0,7.7,14.5,20.2,7.6,0.98,11.0,465,Good
25.0,50.9,4.9,11.4,23.4,2.8,1.1,13.7,196,Good
24.2,62.9,15.3,21.3,20.4,4.5,1.08,13.3,317,Good
30.9,74.6,24.0,28.9,23.6,7.7,1.01,10.7,217,Good
23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602,Good
32.8,51.1,8.0,13.4,13.3,4.6,0.93,11.9,410,Good
23.6,67.8,3.9,5.1,23.3,5.0,1.01,10.4,461,Good
28.2,60.6,14.5,19.4,23.0,6.0,1.16,14.3,360,Good
22.8,81.2,13.0,18.9,18.5,6.8,1.04,15.0,215,Good
24.6,46.5,2.7,9.2,18.4,3.8,1.09,10.2,296,Good
25.7,57.0,16.2,21.2,19.2,0.1,1.0,10.8,323,Good
23.0,76.7,4.3,12.0,18.3,0.7,1.07,12.9,270,Good
32.0,68.1,5.3,10.9,24.9,6.7,0.87,11.9,327,Good
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,Good
20.2,58.0,2.8,5.5,17.2,1.8,1.01,13.3,312,Good
29.2,51.8,0.3,4.6,16.6,6.5,0.89,14.2,291,Good
29.2,54.5,15.8,18.0,12.2,6.4,1.15,13.2,498,Good
26.8,45.7,2.3,8.2,17.9,5.6,0.88,15.4,440,Good
22.9,51.6,3.3,7.0,12.3,5.8,0.88,12.0,349,Good
28.4,45.1,9.7,15.9,23.0,6.5,0.99,12.6,303,Good
28.6,81.6,7.6,14.1,12.0,3.7,0.92,10.3,524,Good
24.4,53.9,8.0,13.3,17.0,5.3,0.84,10.8,335,Good
22.3,51.5,2.8,8.6,26.9,8.4,0.96,10.5,370,Good
19.6,59.7,10.2,18.3,23.2,0.9,1.03,10.7,238,Good
21.9,71.4,15.0,19.3,18.2,1.6,1.0,18.8,505,Good
17.5,45.0,21.2,25.9,14.3,5.3,0.78,12.1,492,Good
29.1,41.5,0.9,4.8,18.7,3.4,1.02,12.6,337,Good
21.9,56.3,16.4,20.3,23.3,9.4,0.84,10.8,271,Good
24.4,60.7,0.0,4.6,26.6,5.3,0.92,10.2,432,Good
26.2,70.8,6.5,12.7,19.0,2.6,1.01,12.2,263,Good
22.9,64.5,2.3,8.8,11.3,7.2,1.13,11.2,361,Good
24.0,55.5,4.1,5.7,12.7,4.3,0.89,13.9,545,Good
26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good
21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351,Good
24.0,67.8,1.3,7.0,15.6,3.0,0.98,12.1,415,Good
25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261,Good
28.4,51.8,8.3,16.6,20.4,2.4,0.98,11.0,549,Good
26.5,64.6,36.9,37.9,20.8,5.0,0.98,13.0,359,Good
25.1,71.1,7.3,11.3,17.9,4.8,1.0,13.4,283,Good
18.0,44.7,18.5,22.8,21.2,9.6,0.99,16.0,470,Good
26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327,Good
28.6,67.5,0.2,4.9,19.0,4.5,1.04,11.4,444,Good
26.2,56.5,20.4,28.2,14.2,-0.4,0.88,12.4,427,Good
20.3,77.6,12.1,19.5,18.0,6.1,0.89,14.2,308,Good
26.1,68.6,8.8,14.4,16.9,1.3,1.06,11.3,424,Good
19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,Good
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good
21.6,50.7,1.5,4.0,11.7,2.3,0.94,12.0,452,Good
26.3,54.1,0.9,10.3,25.1,4.5,0.95,10.1,316,Good
19.7,73.8,1.4,6.7,20.1,4.3,1.1,14.2,532,Good
26.7,41.7,13.2,18.9,18.9,6.3,0.9,12.3,550,Good
23.2,39.6,0.8,7.3,21.7,5.8,0.91,10.9,438,Good
21.7,67.5,35.7,42.5,16.0,4.5,1.16,10.1,231,Good
20.2,76.5,9.5,13.9,14.3,4.4,0.89,11.1,471,Good
28.0,71.0,26.7,28.4,19.4,6.0,1.07,11.1,233,Good
20.6,67.3,7.4,14.1,12.7,2.3,1.09,10.3,484,Good
20.0,79.9,2.0,7.3,15.2,5.1,1.06,10.5,244,Good
23.3,48.6,18.3,24.0,20.1,5.1,1.14,10.2,263,Good
28.5,47.7,0.0,5.3,26.2,2.6,1.13,12.2,474,Good
22.7,67.6,3.7,12.5,20.9,1.1,1.08,11.7,403,Good
26.2,46.4,34.2,40.9,26.1,7.2,1.13,12.5,358,Good
25.8,51.5,9.2,12.9,17.5,0.2,1.26,11.8,452,Good
23.2,40.3,2.3,8.9,19.5,5.7,0.89,11.1,255,Good
22.3,40.5,2.6,7.1,23.8,4.4,0.85,13.1,549,Good
22.2,60.1,19.6,22.5,17.6,7.5,0.97,12.1,558,Good
21.9,67.3,12.2,16.1,24.1,4.8,0.92,10.3,244,Good
27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,Good
20.0,74.9,8.2,15.3,21.1,6.2,1.04,11.7,242,Good
30.2,74.5,18.3,25.0,23.3,4.2,0.87,12.0,499,Good
25.5,59.6,5.6,12.0,11.6,7.6,1.01,12.4,582,Good
25.6,57.7,10.0,15.8,22.1,2.5,0.98,15.4,470,Good
34.2,51.9,4.1,11.6,14.5,5.4,1.17,10.2,421,Good
28.7,63.6,4.2,10.2,20.8,3.2,0.92,11.6,487,Good
26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,Good
22.6,75.1,0.1,5.2,11.7,7.7,0.94,11.4,264,Good
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322,Good
22.4,52.4,2.8,11.1,19.1,6.3,0.83,10.3,339,Good
28.2,74.4,3.0,9.7,15.6,3.1,1.01,13.2,419,Good
26.2,54.4,21.0,22.0,26.8,6.1,0.88,10.4,377,Good
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,Good
18.4,60.6,3.0,8.4,16.6,7.3,1.04,10.2,444,Good
25.9,56.0,36.7,38.0,14.4,6.7,1.0,10.4,572,Good
26.7,73.0,16.5,20.1,27.1,7.0,0.99,11.2,235,Good
22.3,53.5,2.1,7.7,16.1,3.8,1.1,10.0,263,Good
24.7,59.9,2.4,8.0,23.1,6.9,1.06,11.4,356,Good
27.7,51.1,16.1,20.2,26.0,6.0,0.99,10.6,562,Good
23.4,68.9,14.2,18.2,18.4,6.7,0.93,10.7,265,Good
25.0,81.3,4.3,7.8,23.1,6.7,1.14,10.1,329,Good
22.1,75.2,3.2,8.8,14.8,3.6,1.03,15.2,424,Good
24.7,49.4,15.5,21.2,21.7,4.8,0.94,10.6,389,Good
20.7,66.4,26.3,29.6,23.2,0.8,0.98,14.4,520,Good
28.4,71.7,13.3,15.0,16.8,8.2,1.11,11.4,360,Good
27.0,54.6,3.7,10.1,15.1,3.1,0.85,15.9,312,Good
31.6,54.6,1.0,7.7,18.8,3.2,1.05,11.1,208,Good
23.4,65.6,8.9,10.0,27.0,6.3,1.03,10.5,322,Good
21.5,83.1,19.3,25.4,12.9,3.2,1.13,10.5,335,Good
20.0,65.8,5.6,12.5,11.6,5.5,1.1,13.4,373,Good
21.4,49.5,7.6,15.3,22.7,7.8,0.92,12.5,576,Good
22.2,69.7,19.1,21.7,25.0,9.2,1.15,12.5,595,Good
22.1,46.7,0.8,6.3,26.0,3.1,0.98,10.0,469,Good
27.6,51.7,16.9,24.5,19.4,6.1,0.81,10.1,306,Good
22.6,41.7,5.7,12.1,21.5,6.1,0.85,10.3,407,Good
20.6,69.0,23.2,27.0,13.6,2.4,0.92,13.1,444,Good
25.1,67.2,16.3,21.1,19.9,7.6,0.83,10.0,471,Good
22.9,57.9,2.7,8.4,22.8,2.9,1.03,12.8,521,Good
28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406,Good
25.5,51.0,10.2,14.7,14.7,6.1,1.07,11.0,214,Good
24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365,Good
26.2,65.8,12.5,16.9,14.7,3.5,0.92,12.0,432,Good
27.1,47.0,1.2,2.7,12.5,4.8,0.96,10.4,591,Good
24.5,70.4,2.2,9.0,10.9,5.1,0.94,14.6,228,Good
23.5,51.6,0.0,8.3,23.5,7.4,0.92,19.7,450,Good
25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516,Good
30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217,Good
27.5,56.7,7.0,15.8,18.5,0.8,1.09,18.1,406,Good
26.3,62.2,26.1,32.7,19.9,8.3,1.09,10.3,259,Good
23.4,77.4,25.1,28.6,26.1,5.7,1.09,12.0,201,Good
19.2,45.1,26.4,28.8,26.8,7.5,0.92,11.3,208,Good
20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475,Good
23.9,56.6,43.9,53.1,16.5,7.1,1.13,10.8,520,Good
27.1,81.7,14.9,19.8,19.1,5.5,0.92,11.9,242,Good
29.0,39.7,8.9,16.2,26.2,4.2,0.97,15.0,250,Good
18.5,54.2,11.8,19.9,12.9,5.5,1.14,10.1,314,Good
24.5,44.7,12.9,16.0,16.1,1.0,0.99,12.9,268,Good
22.3,73.0,0.1,8.4,20.7,3.6,1.18,10.3,471,Good
25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486,Good
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,Good
25.3,62.8,3.3,12.6,19.7,5.4,0.95,13.1,305,Good
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good
31.1,67.6,2.2,5.5,11.3,0.8,1.12,10.8,344,Good
24.1,70.9,5.0,9.7,17.4,2.2,0.97,13.7,366,Good
23.6,70.0,15.2,17.8,22.2,5.5,1.11,11.5,482,Good
26.8,55.2,3.6,8.0,20.7,5.6,0.76,12.2,575,Good
22.2,61.2,2.4,5.8,21.6,3.8,1.13,11.5,459,Good
18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,Good
25.8,78.2,14.0,20.2,23.3,6.6,1.01,18.8,576,Good
25.8,78.8,11.4,19.7,23.1,7.5,0.92,10.6,547,Good
26.5,60.4,14.5,17.0,23.4,8.0,1.13,12.5,396,Good
27.0,45.8,1.7,6.0,13.0,6.9,0.92,10.9,233,Good
18.0,43.2,5.4,10.0,16.4,2.2,1.07,14.5,571,Good
24.3,61.4,16.6,22.3,13.5,3.7,1.04,10.2,226,Good
15.5,64.8,19.6,23.4,25.5,4.6,0.91,11.1,230,Good
24.8,67.9,2.3,8.2,23.9,1.4,1.08,18.8,207,Good
21.6,77.6,5.0,10.6,17.6,2.5,0.94,11.0,591,Good
22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,Good
26.1,63.3,11.1,13.7,23.7,4.5,0.89,14.7,450,Good
16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,Good
22.2,66.7,1.6,8.2,14.1,7.8,0.99,10.4,544,Good
25.1,61.9,10.8,17.0,13.3,1.1,0.87,10.7,401,Good
23.8,61.3,3.1,4.7,25.4,7.9,1.06,12.5,238,Good
21.8,73.5,11.6,14.8,24.2,5.9,0.96,10.8,463,Good
25.6,66.0,0.8,6.7,16.0,7.0,0.84,11.7,431,Good
19.7,50.7,4.4,9.0,10.4,5.6,0.8,17.4,383,Good
20.9,74.5,1.0,8.1,10.5,1.5,0.9,10.5,278,Good
24.7,46.6,22.0,28.7,14.5,5.4,1.18,11.2,463,Good
24.9,64.5,14.8,20.2,13.2,6.4,1.11,11.5,609,Good
26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276,Good
24.8,76.1,0.8,9.4,15.0,1.9,0.86,10.8,458,Good
23.9,79.6,28.7,32.2,18.7,3.0,1.1,12.0,454,Good
24.1,74.7,5.1,12.1,10.5,6.4,1.07,11.0,454,Good
23.5,74.6,0.3,6.6,16.8,3.9,1.22,13.1,491,Good
30.1,51.5,9.4,14.9,13.8,2.0,0.97,10.2,240,Good
24.6,46.5,5.9,13.0,14.2,6.7,0.96,10.5,547,Good
27.7,66.3,12.1,16.9,23.3,6.2,1.06,10.7,287,Good
27.3,78.1,8.6,7.8,13.8,5.6,1.06,11.0,447,Good
21.2,59.5,6.5,9.8,22.9,5.0,1.09,10.5,595,Good
20.1,64.4,1.5,8.0,14.0,7.6,0.85,10.8,512,Good
28.4,57.0,5.6,11.4,23.9,4.4,0.96,11.3,370,Good
19.8,53.7,17.0,19.9,15.9,7.0,1.04,10.8,564,Good
24.2,42.1,1.7,7.3,14.0,8.2,1.13,10.3,258,Good
24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397,Good
26.5,58.1,10.7,15.0,24.3,2.5,0.98,13.0,220,Good
25.8,68.6,18.1,26.0,25.7,5.7,0.81,10.2,351,Good
28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528,Good
27.7,72.3,40.7,52.1,16.5,6.3,0.98,10.1,338,Good
26.4,52.6,4.7,12.5,24.1,5.6,0.91,10.4,500,Good
25.0,82.2,34.6,40.2,10.8,10.3,1.01,14.2,608,Good
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,Good
20.9,68.0,3.3,8.8,21.9,4.1,1.08,10.5,538,Good
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,Good
24.9,57.7,0.9,4.9,18.0,6.1,1.25,11.9,302,Good
22.0,72.9,20.9,25.6,13.4,6.3,1.02,10.9,544,Good
21.1,47.7,22.5,26.8,18.5,6.1,1.1,12.2,492,Good
23.9,44.8,1.0,4.7,26.0,3.5,1.02,10.6,262,Good
29.6,53.4,2.6,9.9,22.2,4.6,1.09,13.7,297,Good
29.1,65.7,1.2,5.7,25.5,5.5,0.95,11.3,576,Good
27.9,56.7,0.7,6.0,14.5,5.9,1.1,12.9,275,Good
27.0,46.5,8.3,14.0,20.7,5.5,1.02,15.4,496,Good
27.1,70.2,2.0,6.2,23.0,3.5,1.0,10.1,271,Good
19.1,64.9,2.5,10.5,26.0,6.0,1.08,10.4,368,Good
22.5,58.3,25.8,32.3,26.9,3.3,0.97,10.3,501,Good
24.3,62.5,1.1,9.6,20.8,7.0,1.08,10.9,567,Good
28.6,65.9,0.9,4.4,13.1,5.9,1.03,11.7,446,Good
